ID,User,nLos,D-Master,D-Slaver,D-Gate,Speed,x,y,z
272,1,0,70,29,73,5,-32,23,-2
273,1,0,70,31,73,2,-29,30,-2
274,1,0,69,24,73,7,-27,32,-1
275,1,0,74,29,73,4,-36,23,-1
276,1,0,70,29,73,0,-29,30,-1
277,1,0,71,20,73,3,-30,30,-1
278,1,0,69,26,73,5,-32,20,-1
279,1,0,70,27,73,5,-31,25,-1
280,1,0,71,29,73,2,-31,28,-1
281,1,0,69,20,73,10,-28,30,-1
282,1,0,69,27,73,5,-32,20,-1
283,1,0,70,26,73,1,-30,28,-1
284,1,0,69,27,73,5,-30,25,-1
285,1,0,69,27,73,8,-29,28,-1
286,1,0,70,22,73,0,-30,28,-1
287,1,0,70,27,73,2,-32,23,-1
288,1,0,68,26,73,1,-28,27,-1
289,1,0,70,29,73,3,-31,25,-1
290,1,0,72,30,73,7,-31,30,-1
291,1,0,71,19,73,3,-30,30,-1
292,1,0,70,19,73,5,-33,20,-1
293,1,0,69,21,73,10,-32,20,-1
294,1,0,70,29,73,7,-32,23,-1
295,1,0,71,23,73,10,-30,30,-1
296,1,0,71,23,73,3,-33,23,-1
297,1,0,72,30,73,2,-34,23,-1
298,1,0,70,25,73,1,-29,30,-1
299,1,0,71,25,73,3,-32,26,-1
300,1,0,70,27,73,3,-31,25,-1
301,1,0,69,28,73,2,-29,28,-1
302,1,0,71,27,73,2,-31,28,-1
303,1,0,68,24,73,3,-28,27,-1
304,1,0,71,28,73,3,-32,26,-1
305,1,0,70,26,73,1,-30,28,-1
306,1,0,68,22,73,2,-29,25,-1
307,1,0,68,23,73,4,-30,22,-1
308,1,0,70,25,73,5,-32,23,-1
309,1,0,68,29,73,0,-29,25,-1
310,1,0,73,28,73,6,-33,28,-1
311,1,0,68,24,73,5,-28,27,-1
312,1,0,69,25,73,1,-30,25,-1
313,1,0,69,22,73,4,-30,25,-1
314,1,0,71,23,73,6,-33,23,-2
315,1,0,73,23,73,5,-35,23,-1
316,1,0,72,29,73,4,-34,23,-1
317,1,0,70,29,73,8,-29,30,-1
318,1,0,72,28,73,8,-31,30,-1
319,1,0,71,26,73,5,-31,28,-1
320,1,0,71,27,73,5,-32,26,-1
321,1,0,69,20,73,2,-29,28,-1
322,1,0,71,22,73,8,-34,20,-1
323,1,0,70,28,73,3,-32,23,-1
324,1,0,70,26,73,1,-30,28,-1
325,1,0,71,23,73,6,-32,26,-1
326,1,0,69,28,73,1,-31,23,-1
327,1,0,70,31,73,0,-30,28,-1
328,1,0,69,28,73,7,-27,32,-1
329,1,0,68,26,73,5,-28,27,-1
330,1,0,69,22,73,3,-30,25,-1
331,1,0,68,29,73,10,-30,22,-1
332,1,0,72,28,73,4,-31,30,-1
333,1,0,71,30,73,3,-31,28,-1
334,1,0,71,30,73,8,-30,30,-1
335,1,0,69,27,73,3,-28,30,-1
336,1,0,70,27,73,1,-30,28,-1
337,1,0,68,29,73,3,-28,27,-1
338,1,0,68,28,73,1,-27,30,-1
339,1,0,68,28,73,2,-28,27,-1
340,1,0,70,30,73,2,-30,28,-1
341,1,0,70,28,73,2,-29,30,-1
342,1,0,70,27,73,2,-30,28,-1
343,1,0,69,29,73,1,-29,28,-1
344,1,0,69,29,73,1,-28,30,-1
345,1,0,71,29,73,2,-30,30,-1
346,1,0,68,28,73,2,-27,30,-1
347,1,0,70,25,73,2,-30,28,-1
348,1,0,72,22,73,5,-33,26,-1
349,1,0,70,21,73,8,-32,23,-1
350,1,0,68,22,73,6,-30,22,-1
351,1,0,71,28,73,3,-33,23,-1
352,1,0,68,26,73,5,-28,27,-1
353,1,0,71,21,73,4,-32,26,-1
354,1,0,70,27,73,1,-32,23,-1
355,1,0,69,30,73,1,-29,28,-1
356,1,0,70,26,73,5,-29,30,-1
357,1,0,71,24,73,3,-32,26,-1
358,1,0,70,30,73,3,-31,25,-1
359,1,0,69,25,73,1,-28,30,-1
360,1,0,71,29,73,0,-32,26,-1
361,1,0,70,31,73,5,-29,30,-1
362,1,0,68,30,73,2,-26,31,-1
363,1,0,71,24,73,4,-30,30,-1
364,1,0,69,22,73,5,-30,25,-1
365,1,0,69,22,73,9,-31,23,-1
366,1,0,72,29,73,8,-34,23,-1
367,1,0,68,26,73,5,-27,30,-1
368,1,0,68,24,73,2,-29,25,-2
369,1,0,69,28,73,4,-30,25,-2
370,1,0,70,28,73,3,-30,28,-2
371,1,0,69,25,73,3,-29,28,-1
372,1,0,68,27,73,1,-29,25,-1
373,1,0,71,29,73,1,-31,28,-1
374,1,0,69,28,73,2,-28,30,-1
375,1,0,70,25,73,3,-30,28,-1
376,1,0,70,29,73,3,-31,25,-1
377,1,0,71,31,73,2,-30,30,-1
378,1,0,70,29,73,4,-28,32,-1
379,1,0,71,28,73,5,-30,30,-1
380,1,0,68,27,73,3,-28,27,-1
381,1,0,71,29,73,5,-31,28,-1
382,1,0,70,22,73,1,-29,30,-1
383,1,0,71,29,73,6,-33,23,-1
384,1,0,70,27,73,2,-29,30,-1
385,1,0,69,30,73,2,-29,28,-1
386,1,0,72,31,73,7,-31,30,-1
387,1,0,69,22,73,2,-27,32,-1
388,1,0,70,22,73,5,-32,23,-1
389,1,0,70,26,73,7,-32,23,-1
390,1,0,71,23,73,7,-32,26,-1
391,1,0,71,30,73,1,-33,23,-2
392,1,0,70,28,73,7,-29,30,-2
393,1,0,70,24,73,2,-30,28,-2
394,1,0,71,31,73,2,-32,25,-3
395,1,0,69,29,73,2,-27,32,-3
396,1,0,70,20,73,2,-29,30,-3
397,1,0,69,31,73,6,-32,19,-3
398,1,0,68,26,73,1,-26,31,-3
399,1,0,70,30,73,5,-31,25,-2
400,1,0,68,22,73,11,-27,29,-2
401,1,0,69,21,73,9,-31,23,-2
402,1,0,69,26,73,2,-31,23,-2
403,1,0,71,25,73,5,-32,26,-2
404,1,0,70,28,73,2,-31,25,-2
405,1,0,70,29,73,5,-30,28,-2
406,1,0,71,31,73,4,-30,30,-1
407,1,0,70,30,73,7,-28,32,-1
408,1,0,70,27,73,2,-29,30,-1
409,1,0,73,25,73,3,-33,28,-1
