2025-01-03 18:56:46 , INFO , ID, User, nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, z
2025-01-03 18:57:10 , INFO , 87, 1, 0, 74, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:10 , INFO , 88, 1, 0, 76, 126, 100, 0, 0, 0, 80
2025-01-03 18:57:11 , INFO , 89, 1, 0, 76, 122, 100, 0, 0, 0, 80
2025-01-03 18:57:11 , INFO , 90, 1, 0, 74, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:11 , INFO , 91, 1, 0, 73, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:11 , INFO , 92, 1, 0, 74, 134, 100, 0, 0, 0, 80
2025-01-03 18:57:12 , INFO , 93, 1, 0, 73, 117, 100, 0, 0, 0, 80
2025-01-03 18:57:12 , INFO , 94, 1, 0, 73, 119, 100, 0, 0, 0, 80
2025-01-03 18:57:12 , INFO , 95, 1, 0, 73, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:13 , INFO , 96, 1, 0, 77, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:13 , INFO , 97, 1, 0, 73, 137, 100, 0, 0, 0, 80
2025-01-03 18:57:13 , INFO , 98, 1, 0, 73, 158, 100, 0, 0, 0, 80
2025-01-03 18:57:13 , INFO , 99, 1, 0, 72, 123, 100, 0, 0, 0, 80
2025-01-03 18:57:14 , INFO , 100, 1, 0, 73, 134, 100, 0, 0, 0, 80
2025-01-03 18:57:14 , INFO , 101, 1, 0, 73, 129, 100, 0, 0, 0, 80
2025-01-03 18:57:14 , INFO , 102, 1, 0, 74, 129, 100, 0, 0, 0, 80
2025-01-03 18:57:14 , INFO , 103, 1, 0, 75, 121, 100, 0, 0, 0, 80
2025-01-03 18:57:15 , INFO , 104, 1, 0, 73, 114, 100, 0, 0, 0, 80
2025-01-03 18:57:15 , INFO , 105, 1, 0, 73, 121, 100, 0, 0, 0, 80
2025-01-03 18:57:15 , INFO , 106, 1, 0, 72, 118, 100, 0, 0, 0, 80
2025-01-03 18:57:15 , INFO , 107, 1, 0, 75, 120, 100, 0, 0, 0, 80
2025-01-03 18:57:16 , INFO , 108, 1, 0, 73, 119, 100, 0, 0, 0, 80
2025-01-03 18:57:16 , INFO , 109, 1, 0, 74, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:16 , INFO , 110, 1, 0, 72, 123, 100, 0, 0, 0, 80
2025-01-03 18:57:16 , INFO , 111, 1, 0, 72, 130, 100, 0, 0, 0, 80
2025-01-03 18:57:17 , INFO , 112, 1, 0, 75, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:17 , INFO , 113, 1, 0, 75, 122, 100, 0, 0, 0, 80
2025-01-03 18:57:17 , INFO , 114, 1, 0, 76, 136, 100, 0, 0, 0, 80
2025-01-03 18:57:17 , INFO , 115, 1, 0, 72, 136, 100, 0, 0, 0, 80
2025-01-03 18:57:18 , INFO , 116, 1, 0, 73, 136, 100, 0, 0, 0, 80
2025-01-03 18:57:18 , INFO , 117, 1, 0, 74, 134, 100, 0, 0, 0, 80
2025-01-03 18:57:18 , INFO , 118, 1, 0, 72, 137, 100, 0, 0, 0, 80
2025-01-03 18:57:18 , INFO , 119, 1, 0, 73, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:19 , INFO , 120, 1, 0, 72, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:19 , INFO , 121, 1, 0, 74, 137, 100, 0, 0, 0, 80
2025-01-03 18:57:19 , INFO , 122, 1, 0, 74, 139, 100, 0, 0, 0, 80
2025-01-03 18:57:19 , INFO , 123, 1, 0, 74, 133, 100, 0, 0, 0, 80
2025-01-03 18:57:20 , INFO , 124, 1, 0, 72, 133, 100, 0, 0, 0, 80
2025-01-03 18:57:20 , INFO , 125, 1, 0, 74, 141, 100, 0, 0, 0, 80
2025-01-03 18:57:20 , INFO , 126, 1, 0, 74, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:21 , INFO , 127, 1, 0, 74, 133, 100, 0, 0, 0, 80
2025-01-03 18:57:21 , INFO , 128, 1, 0, 73, 139, 100, 0, 0, 0, 80
2025-01-03 18:57:21 , INFO , 129, 1, 0, 73, 133, 100, 0, 0, 0, 80
2025-01-03 18:57:21 , INFO , 130, 1, 0, 73, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:22 , INFO , 131, 1, 0, 73, 119, 100, 0, 0, 0, 80
2025-01-03 18:57:22 , INFO , 132, 1, 0, 74, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:23 , INFO , 133, 1, 0, 74, 127, 100, 0, 0, 0, 80
2025-01-03 18:57:23 , INFO , 134, 1, 0, 71, 126, 100, 0, 0, 0, 80
2025-01-03 18:57:23 , INFO , 135, 1, 0, 71, 134, 100, 0, 0, 0, 80
2025-01-03 18:57:23 , INFO , 136, 1, 0, 74, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:24 , INFO , 137, 1, 0, 74, 135, 100, 0, 0, 0, 80
2025-01-03 18:57:24 , INFO , 138, 1, 0, 75, 139, 100, 0, 0, 0, 80
2025-01-03 18:57:24 , INFO , 139, 1, 0, 75, 139, 100, 0, 0, 0, 80
2025-01-03 18:57:24 , INFO , 140, 1, 0, 73, 134, 100, 0, 0, 0, 80
2025-01-03 18:57:25 , INFO , 141, 1, 0, 73, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:25 , INFO , 142, 1, 0, 74, 134, 100, 0, 0, 0, 80
2025-01-03 18:57:25 , INFO , 143, 1, 0, 76, 133, 100, 0, 0, 0, 80
2025-01-03 18:57:25 , INFO , 144, 1, 0, 76, 129, 100, 0, 0, 0, 80
2025-01-03 18:57:26 , INFO , 145, 1, 0, 75, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:26 , INFO , 146, 1, 0, 72, 127, 100, 0, 0, 0, 80
2025-01-03 18:57:26 , INFO , 147, 1, 0, 71, 130, 100, 0, 0, 0, 80
2025-01-03 18:57:26 , INFO , 148, 1, 0, 81, 126, 100, 0, 0, 0, 80
2025-01-03 18:57:27 , INFO , 149, 1, 0, 79, 146, 100, 0, 0, 0, 80
2025-01-03 18:57:27 , INFO , 150, 1, 0, 75, 146, 100, 0, 0, 0, 80
2025-01-03 18:57:27 , INFO , 151, 1, 0, 72, 113, 100, 0, 0, 0, 80
2025-01-03 18:57:27 , INFO , 152, 1, 0, 69, 120, 100, 0, 0, 0, 80
2025-01-03 18:57:28 , INFO , 153, 1, 0, 73, 118, 100, 0, 0, 0, 80
2025-01-03 18:57:28 , INFO , 154, 1, 0, 71, 114, 100, 0, 0, 0, 80
2025-01-03 18:57:28 , INFO , 155, 1, 0, 72, 114, 100, 0, 0, 0, 80
2025-01-03 18:57:28 , INFO , 156, 1, 0, 72, 120, 100, 0, 0, 0, 80
2025-01-03 18:57:29 , INFO , 157, 1, 0, 74, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:29 , INFO , 158, 1, 0, 69, 127, 100, 0, 0, 0, 80
2025-01-03 18:57:29 , INFO , 159, 1, 0, 70, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:29 , INFO , 160, 1, 0, 70, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:30 , INFO , 161, 1, 0, 74, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:30 , INFO , 162, 1, 0, 74, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:30 , INFO , 163, 1, 0, 74, 121, 100, 0, 0, 0, 80
2025-01-03 18:57:30 , INFO , 164, 1, 0, 74, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:31 , INFO , 165, 1, 0, 76, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:31 , INFO , 166, 1, 0, 77, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:31 , INFO , 167, 1, 0, 77, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:31 , INFO , 168, 1, 0, 72, 144, 100, 0, 0, 0, 80
2025-01-03 18:57:32 , INFO , 169, 1, 0, 76, 127, 100, 0, 0, 0, 80
2025-01-03 18:57:32 , INFO , 170, 1, 0, 73, 134, 100, 0, 0, 0, 80
2025-01-03 18:57:32 , INFO , 171, 1, 0, 75, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:32 , INFO , 172, 1, 0, 74, 126, 100, 0, 0, 0, 80
2025-01-03 18:57:33 , INFO , 173, 1, 0, 73, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:33 , INFO , 174, 1, 0, 72, 129, 100, 0, 0, 0, 80
2025-01-03 18:57:33 , INFO , 175, 1, 0, 73, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:34 , INFO , 176, 1, 0, 74, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:34 , INFO , 177, 1, 0, 72, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:34 , INFO , 178, 1, 0, 73, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:34 , INFO , 179, 1, 0, 74, 126, 100, 0, 0, 0, 80
2025-01-03 18:57:35 , INFO , 180, 1, 0, 73, 131, 100, 0, 0, 0, 80
2025-01-03 18:57:35 , INFO , 181, 1, 0, 71, 140, 100, 0, 0, 0, 80
2025-01-03 18:57:35 , INFO , 182, 1, 0, 73, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:35 , INFO , 183, 1, 0, 73, 130, 100, 0, 0, 0, 80
